refcode,formula,z_prime,r_factor,n_atoms,spacegroup
JOTVET,C13 H28 Cl2 O6 P2,0.5,5.4,51,C2/c
VOCSOV,C15 H16 O5,2.0,3.7,36,P1
IFOREB,C11 H10 N2 O1,1.0,4.59,24,P21/c
FIPHUI,C13 H14 F6 N2 O3,1.0,3.79,38,P-1
LUHDIC,C15 H15 N1 O2 S2,1.0,5.11,35,P21/c
LOTLIS,C17 H19 N3 O1 S1,1.0,5.0200000000000005,41,P21/c
CORJIG,C13 H15 N1 O3,1.0,5.18,32,P21/c
AMACPH,C8 H9 N1 O1,1.0,7.3,19,P21/a
NAQJIC,C29 H18 Br1 N3 S2,1.0,4.6,53,P-1
NODHEW,C28 H25 N2 O2 P1 S1,1.0,3.6900000000000004,59,P-1
WEYCAE,C9 H10 O1 S1,2.0,3.3000000000000003,21,P-1
HEKMOZ,C9 H10 O4,1.0,3.2,23,P21/c
ZARZEA,C7 H6 N2 Se1,1.0,2.35,16,P21/c
OXPBUN10,C22 H19 O4 P1,1.0,4.9,46,P21/c
GUKPOR,"C4 H12 N2 2+,C2 H6 O6 P2 2-",0.5,5.91,18,P21/c
ASOPEE,C23 H26 Cl1 N3 O4,1.0,4.49,57,P-1
ELOJEY,C16 H20 N2 O4 S1,1.0,5.66,43,P-1
BIVZIT,C23 H19 N1,1.0,3.5999999999999996,43,P21/c
KUNYAX,"C4 H9 O3 S1 1-,C6 H6 Br1 Cl1 N1 1+",1.0,4.8500000000000005,17,P-1
MUJWEV,C10 H11 Br2 Cl1 O2,1.0,6.78,26,P21/c
GUSSIY,C30 H32 O1,2.0,6.7299999999999995,63,P212121
VABFOT,"C20 H20 N1 O1 1+,Cl1 1-",1.0,6.0,42,Pc21b
VEMRAI,C19 H20 Br2 N6 O4 S1,1.0,2.82,52,P-1
QOTGOV02,C15 H19 N3 O2,1.0,6.59,39,Pna21
VIHMII,"C14 H11 N2 S2 1-,K1 1+,C4 H8 O2",1.0,5.2,29,P21/a
AYEFOZ01,C22 H21 N5,1.0,4.75,48,P21/n
PECVEA,C17 H18 N2 O2,1.0,5.21,39,P-1
TILPOV,C27 H30 N6,1.0,4.9399999999999995,63,P21/c
DOLMIE,C16 H14 O1 S2,2.0,6.22,33,P21/c
XEMBEA,C10 H13 N1 O3 S1,1.0,3.88,28,P43212
HUYCEM,C11 H20 B10,1.0,7.01,41,P21/c
DAGSAJ,C22 H23 N1 O5,2.0,4.6899999999999995,51,P21212
IJUCIB,C14 H20 N14,0.5,4.9,48,C2/c
AHONUK,"C27 H24 N2 O5,0.5(C2 H6 O1 S1)",2.0,4.81,58,P21/n
OQIDEZ,C20 H32 O3,1.0,3.38,55,P212121
NOZWII55,C25 H28 N6 O1,1.0,3.47,60,P-1
VUBXUP,C14 H14 O4 S2 Se2,0.5,4.09,36,P-1
UPANIJ,"C5 H4 N3 O2 1-,H4 N1 1+",2.0,2.5500000000000003,14,Pca21
PAQSOS,"C26 H25 P2 1+,C1 F3 O3 S1 1-",1.0,4.05,53,P21/n
FUWHOV,C13 H10 B1 N3 O3 S1,1.0,3.38,31,P-1
UJOFOP,C12 H17 N1 O4 S1,1.0,3.06,35,P21
ULEJUT,C29 H22 Cl1 N1 O2 S2,1.0,3.2399999999999998,57,P21
QARXOY,C24 H27 N1 P2,1.0,4.63,54,P21
USOHEQ,C21 H25 N1 O2,1.0,4.46,49,P21/n
IYEFAW,C8 H16 F2 O2,0.5,4.21,28,P21/c
GINNAT,"C16 H10 N2 O8,2(H2 O1)",0.5,6.12,36,P-1
AQASIV01,C13 H10 Br2 N2 O1,0.5,2.2399999999999998,28,P21212
ISUMUG,"C8 H14 N2 O2,C5 H6 O5",1.0,6.67,26,P21
EBIFOL,C14 H13 N1 O1,1.0,4.16,29,Pccn
COWJAB,C2 H4 N2 O4,2.0,5.390000000000001,12,P-1
LIPZOD,C15 H20 O4,1.0,2.87,39,P212121
ZAZHUH,C20 H21 N1,1.0,5.75,42,Pbca
BUBVIE,C22 H18 N2,2.0,6.84,42,P21/n
PODACE,C16 H16 N2 O5 S1,1.0,5.6000000000000005,40,P21
BAQRUJ,"C2 H10 N2 2+,C4 H4 O4 S1 2-",1.0,2.62,14,P21/c
EZAFEQ,C18 H30 N2 O8 S1,1.0,4.3500000000000005,59,P212121
SAYPUE,"C14 H24 N2 O6,C14 H8 N2",0.5,6.2700000000000005,46,P-1
LOZYII04,C14 H17 N3 O3 S1,1.0,3.66,38,P21/n
HANDIM,"C13 H16 N1 O2 1+,Cl1 1-",1.0,2.91,32,P21/c
UTAGUS,C27 H23 N1 O4,1.0,5.44,55,Pca21
ANUXUD,C25 H27 N1 O6,1.0,5.37,59,P21
HUCLEW01,"C8 H4 N2 O8,2(H2 O1)",0.5,2.33,22,P-1
CANDOM13,C21 H30 O2,2.0,3.44,53,P21
HACPAE,C24 H29 N1 O4,1.0,4.3,58,P-1
IJOBOY02,"C14 H18 Ca2 N2 O14,2(C7 H5 N1 O4)",0.5,3.21,50,P21/c
UREDOL,C15 H14 N4 O6,1.0,6.33,39,P-1
WUVXUG,C11 H20 N2 O4 S1,1.0,4.5,38,P-1
BASRIA,C16 H20 N2 O4,0.5,6.3,42,P21/c
MAVGEW01,C15 H11 N3 O2,1.0,5.8,31,Pna21
FUVKOA,C16 H20 O5,1.0,4.24,41,Pbca
YUYGEE01,C9 H10 O3,1.0,4.38,22,P21/c
LIMJEZ,C30 H28 B1 N1,1.0,4.9399999999999995,60,P21/c
LATREH,C21 H19 F3 N2 O6,2.0,3.0,51,P212121
RUVZIV,C19 H22 Cl1 N1 O2,1.0,5.390000000000001,45,P1
QELZEN,C18 H17 N1 O4,1.0,5.48,40,P-1
GAYGES,"C20 H31 N1 O10,H2 O1",2.0,6.11,62,P21/a
RUBWUI,C19 H23 F1 O2 S1,1.0,5.64,46,P21/n
TEJKUO08,"C6 H16 N1 1+,Br1 1-",1.0,3.3099999999999996,23,P212121
TICZOW,"C11 H10 N1 1+,C7 H3 N2 O6 1-,C7 H4 N2 O6",1.0,3.74,22,P-1
JOZSID,C25 H20 Cl1 N1 O1,1.0,7.3,48,P21/n
OJOYES,C25 H20 N2 O1,1.0,3.83,48,P-1
FONVUD,C13 H17 N1 O1,1.0,5.25,32,C2/c
RAWYEX,"C10 H13 N3 O3 P1 1+,Cl1 1-",1.0,4.24,30,P21/c
UWADIH,"C20 H23 N1 O3 S1,C1 H1 Cl3",2.0,2.6599999999999997,48,P21
JUMXAT,C11 H16 O3,1.0,4.46,30,P212121
HOZCUV01,"C18 H14 Br1 N3 O2,H2 O1",1.0,2.94,38,C2/c
YUYZEX,C30 H18 O3,1.0,5.55,51,P-1
WUVSOV,C17 H21 N1 O3,1.0,4.8100000000000005,42,P21/c
